DS18B20,BMP390,,,SEN0463 (Geiger),,,GY271 (Magnetometer),,,,,SCD30,,,PMSA003I,,,,,,Solar Panel,,,,Time,Heater
External Temp (*C), Internal Temp (*C), Pressure (hPa), Approx. Altitude (meters), CPM, nSv/h, uSv/h, Mag. field X (mG), Mag. field Y (mG), Mag. field Z (mG), Heading (°), Magnitude (mG), CO2 (ppm), SCD30 Temp (C), Humidity (%), Particles > 0.3um / 0.1L air, Particles > 0.5um / 0.1L air, Particles > 1.0um / 0.1L air, Particles > 2.5um / 0.1L air, Particles > 5.0um / 0.1L air, Particles > 10 um / 0.1L air, Voltage (V), Power (mW), Solar Power (mW), Intensity (W/m^2), Time (seconds), Outside Heater Status
-27.69,3.12,65.66,17994.82,681,4509,4.51,34.25,-24.54,15.27,-35,44.82,12,-8.27,9.42,3,0,0,0,0,0,5,2.5,14.71,3.69,6468,On
-27.81,3.11,65.65,17995.12,687,4549,4.55,37.33,-24.42,15.89,-33,47.36,10,-8.3,9.2,0,0,0,0,0,0,5,2.5,14.71,3.69,6473,On
-27.69,3.1,65.65,17995.44,683,4525,4.53,1.81,-28.77,19.5,-86,34.8,23,-8.17,8.52,0,0,0,0,0,0,5,2.5,14.71,3.69,6479,On
-27.62,3.09,65.64,17995.76,694,4598,4.6,13.43,-43.46,19.97,-72,49.68,26,-8.19,8.65,0,0,0,0,0,0,5,2.5,14.71,3.69,6484,On
-27.5,3.07,65.64,17996.09,682,4518,4.52,22.85,6.48,20.37,15,31.29,24,-8.09,8.83,0,0,0,0,0,0,5,2.5,14.71,3.69,6490,On
-27.5,3.06,65.63,17996.41,690,4572,4.57,-2.64,-16.81,22.83,-98,28.48,26,-8.09,8.98,0,0,0,0,0,0,5,2.5,14.71,3.69,6496,On
-27.37,3.05,65.63,17996.73,693,4593,4.59,42.35,-32.85,18.25,-37,56.62,26,-8.05,9.05,0,0,0,0,0,0,5,2.5,14.71,3.69,6501,On
-27.37,3.04,65.63,17997.05,693,4594,4.59,34.67,-7.81,18.37,-12,40,26,-7.98,9.1,0,0,0,0,0,0,5,2.5,14.71,3.69,6507,On
-27.31,3.03,65.62,17997.36,689,4567,4.57,19.56,-43.79,19.18,-65,51.65,24,-8.05,9.37,0,0,0,0,0,0,5,2.5,14.71,3.69,6512,On
-27.44,3.02,65.62,17997.68,687,4553,4.55,33.38,-11.42,17,-18,39.16,31,-8.02,8.81,0,0,0,0,0,0,5,2.5,14.71,3.69,6518,On
-27.31,3,65.61,17997.99,632,4185,4.19,39.72,-31,17.18,-37,53.24,31,-8.03,8.71,0,0,0,0,0,0,5,2.5,14.71,3.69,6524,On
-27.25,2.99,65.61,17998.28,617,4086,4.09,3.75,-11.17,18.6,-71,22.02,29,-7.89,9.32,0,0,0,0,0,0,5,2.5,14.71,3.69,6529,On
-27.06,2.98,65.61,17998.57,662,4384,4.38,-2.52,-31.35,22.64,-94,38.75,26,-7.81,9.6,0,0,0,0,0,0,5,2.5,14.71,3.69,6535,On
-26.87,2.97,65.6,17998.83,672,4454,4.45,15.56,-39.71,18.08,-68,46.32,27,-7.79,9.36,128,71,0,0,0,0,5,2.5,14.71,3.69,6540,On
-26.81,2.96,65.6,17999.1,668,4429,4.43,13.21,-3.89,17.42,-16,22.2,28,-7.75,9.05,1573,876,0,0,0,0,5,2.5,14.71,3.69,6546,On
-26.75,2.95,65.6,17999.39,678,4494,4.49,0,-5.18,22.68,-90,23.27,27,-7.74,9.38,3032,1619,0,0,0,0,5,2.5,14.71,3.69,6552,On
-26.69,2.94,65.59,17999.69,688,4562,4.56,28.1,-30.27,14.83,-47,43.88,25,-7.68,9.36,3802,1946,0,0,0,0,5,2.5,14.71,3.69,6557,On
-26.69,2.93,65.59,17999.97,682,4522,4.52,22.06,6.89,21.22,17,31.38,25,-7.64,9.31,3812,1902,0,0,0,0,5,2.5,14.71,3.69,6563,On
-26.69,2.92,65.58,18000.27,668,4429,4.43,23.87,-31.14,15.06,-52,42.03,24,-7.6,9.51,2916,1429,0,0,0,0,5,2.5,14.71,3.69,6568,On
-26.62,2.91,65.58,18000.54,657,4354,4.35,5.21,-42.38,22.21,-82,48.12,24,-7.57,9.39,2250,1122,0,0,0,0,5,2.5,14.71,3.69,6574,On
-26.69,2.9,65.58,18000.84,659,4366,4.37,7.58,-17.71,17,-66,25.69,23,-7.55,9.21,1673,858,0,0,0,0,5,2.5,14.71,3.69,6580,On
-26.62,2.89,65.57,18001.15,697,4615,4.62,46.14,-31.96,20.17,-34,59.64,22,-7.51,9.02,1301,664,0,0,0,0,5,2.5,14.71,3.69,6585,On
-26.69,2.88,65.57,18001.42,701,4642,4.64,-0.89,-12.38,21.14,-94,24.51,24,-7.52,8.9,935,471,0,0,0,0,5,2.5,14.71,3.69,6591,On
-26.62,2.87,65.57,18001.68,669,4430,4.43,46.14,-30.67,20.25,-33,58.99,23,-7.5,9.18,687,341,0,0,0,0,5,2.5,14.71,3.69,6596,On
-26.5,2.86,65.56,18001.91,670,4437,4.44,36.5,-12.29,16.17,-18,41.77,22,-7.39,9.09,449,212,0,0,0,0,5,2.5,14.71,3.69,6602,On
-26.5,2.85,65.56,18002.17,632,4188,4.19,21.81,-0.6,19,-1,28.93,22,-7.46,9.04,322,145,0,0,0,0,5,2.5,14.71,3.69,6608,On
-26.44,2.84,65.56,18002.44,628,4163,4.16,26.02,-9.04,16.56,-19,32.14,20,-7.44,8.65,189,75,0,0,0,0,5,2.5,14.71,3.69,6613,On
-26.44,2.83,65.55,18002.73,618,4096,4.1,16.08,-41.72,18.43,-68,48.37,18,-7.43,9.07,118,29,0,0,0,0,5,2.5,14.71,3.69,6619,On
-26.37,2.82,65.55,18002.99,614,4070,4.07,26.25,-12.98,15.23,-26,33,21,-7.37,8.9,55,2,0,0,0,0,5,2.5,14.71,3.69,6624,On
-26.37,2.81,65.54,18003.26,621,4117,4.12,31.92,-38.89,16.75,-50,53.03,20,-7.32,8.95,15,0,0,0,0,0,5,2.5,14.71,3.69,6630,On
-26.31,2.8,65.54,18003.54,639,4234,4.23,23.83,-0.06,17.97,0,29.85,23,-7.3,8.73,0,0,0,0,0,0,5,2.5,14.71,3.69,6636,On
-26.25,2.79,65.54,18003.81,632,4186,4.19,30.6,-41.04,18.08,-53,54.29,21,-7.32,8.68,0,0,0,0,0,0,5,2.5,14.71,3.69,6641,On
-26.25,2.78,65.53,18004.07,659,4364,4.36,26.64,2.6,18.6,5,32.6,24,-7.36,8.1,0,0,0,0,0,0,5,2.5,14.71,3.69,6647,On
-26.25,2.77,65.53,18004.34,666,4410,4.41,0.02,-28.56,21,-89,35.45,26,-7.36,7.85,0,0,0,0,0,0,5,2.5,14.71,3.69,6652,On
-26.25,2.76,65.53,18004.61,651,4311,4.31,8.33,-3.14,19.81,-20,21.72,35,-7.33,7.58,0,0,0,0,0,0,5,2.5,14.71,3.69,6658,On
-26.19,2.75,65.52,18004.89,672,4454,4.45,17.31,-38.38,16.29,-65,45.14,25,-7.26,7.59,0,0,0,0,0,0,5,2.5,14.71,3.69,6664,On
-26.25,2.74,65.52,18005.15,686,4543,4.54,1.68,-13.75,19,-83,23.51,56,-7.32,7.22,0,0,0,0,0,0,5,2.5,14.71,3.69,6669,On
-26.25,2.73,65.52,18005.4,664,4402,4.4,18.54,-36.64,16.47,-63,44.25,34,-7.27,7.01,0,0,0,0,0,0,5,2.5,14.71,3.69,6675,On
-26.19,2.72,65.51,18005.67,665,4410,4.41,24.62,-38.85,17.22,-57,49.12,23,-7.3,7.22,0,0,0,0,0,0,5,2.5,14.71,3.69,6680,On
-26.12,2.71,65.51,18005.94,683,4525,4.53,14.02,-8.71,17.85,-31,24.31,21,-7.2,7.27,0,0,0,0,0,0,5,2.5,14.71,3.69,6686,On
-26.06,2.7,65.51,18006.2,675,4472,4.47,3.71,-33.93,19.5,-83,39.31,19,-7.17,7.88,0,0,0,0,0,0,5,2.5,14.71,3.69,6692,On
-26.12,2.69,65.5,18006.48,674,4465,4.47,4.14,-24.77,18.87,-80,31.41,18,-7.15,9.2,0,0,0,0,0,0,5,2.5,14.71,3.69,6697,On
-26.06,2.68,65.5,18006.71,664,4399,4.4,17.97,-48.06,21.62,-69,55.68,15,-7.12,9.59,0,0,0,0,0,0,5,2.5,14.71,3.69,6703,On
-26.06,2.67,65.5,18006.97,669,4430,4.43,6.71,1.04,22.56,8,23.56,15,-7.04,9.42,0,0,0,0,0,0,5,2.5,14.71,3.69,6708,On
-26.06,2.66,65.49,18007.2,687,4549,4.55,11.98,-34.67,16.96,-70,40.41,4,-6.96,9.57,0,0,0,0,0,0,5,2.5,14.71,3.69,6714,On
-26.12,2.65,65.49,18007.44,678,4490,4.49,39.14,-33.46,17.67,-40,54.44,15,-6.95,9.32,0,0,0,0,0,0,5,2.5,14.71,3.69,6720,On
-26,2.64,65.49,18007.68,686,4545,4.54,31.43,-9.48,14.96,-16,36.08,17,-6.88,8.96,0,0,0,0,0,0,5,2.5,14.71,3.69,6725,On
-26.06,2.63,65.48,18007.93,722,4784,4.78,21.79,0.79,19.54,2,29.28,23,-6.96,9.45,0,0,0,0,0,0,5,2.5,14.71,3.69,6731,On
-25.94,2.63,65.48,18008.17,716,4745,4.75,33.08,-1.48,17.62,-2,37.51,21,-6.88,9.66,0,0,0,0,0,0,5,2.5,14.71,3.69,6736,On
-26,2.62,65.48,18008.39,702,4653,4.65,17.18,-33.17,16.02,-62,40.64,18,-6.82,9.92,0,0,0,0,0,0,5,2.5,14.71,3.69,6742,On
-25.94,2.61,65.47,18008.61,687,4552,4.55,-10,-21.22,26.29,-115,35.24,20,-6.82,10.32,0,0,0,0,0,0,5,2.5,14.71,3.69,6748,On
-25.94,2.6,65.47,18008.85,680,4503,4.5,22.54,-6.17,17.06,-15,28.93,21,-6.77,10.68,0,0,0,0,0,0,5,2.5,14.71,3.69,6753,On
-25.87,2.59,65.47,18009.1,670,4437,4.44,41.25,-9.31,18.29,-12,46.07,21,-6.8,10.68,0,0,0,0,0,0,5,2.5,14.71,3.69,6759,On
-25.75,2.58,65.47,18009.34,671,4444,4.44,26.06,-16.1,14.17,-31,33.75,19,-6.68,10.37,2,0,0,0,0,0,5,2.5,14.71,3.69,6764,On
-25.87,2.57,65.46,18009.58,646,4278,4.28,34.67,-33.85,16.79,-44,51.28,20,-6.76,10.56,80,15,0,0,0,0,5,2.5,14.71,3.69,6770,On
-25.75,2.56,65.46,18009.83,638,4225,4.23,8.42,5.04,23.1,30,25.1,21,-6.74,10.15,253,58,0,0,0,0,5,2.5,14.71,3.69,6776,On
-25.62,2.56,65.46,18010.01,664,4397,4.4,8.93,-17.92,16.12,-63,25.71,21,-6.66,10.31,329,70,0,0,0,0,5,2.5,14.71,3.69,6781,On
-25.56,2.55,65.45,18010.23,686,4543,4.54,8.33,3.1,21.89,20,23.63,23,-6.6,10.41,336,56,0,0,0,0,5,2.5,14.71,3.69,6787,On
-25.37,2.54,65.45,18010.44,673,4458,4.46,28.81,-28.37,14.56,-44,42.98,20,-6.59,10.58,299,43,0,0,0,0,5,2.5,14.71,3.69,6792,On
-25.44,2.53,65.45,18010.67,675,4473,4.47,23.52,-47.58,21.54,-63,57.28,20,-6.56,10.5,268,41,0,0,0,0,5,2.5,14.71,3.69,6798,On
-25.44,2.52,65.44,18010.91,675,4471,4.47,19.29,-37.46,16.92,-62,45.4,20,-6.59,10.14,270,54,0,0,0,0,5,2.5,14.71,3.69,6804,On
-25.37,2.51,65.44,18011.15,687,4552,4.55,37.52,-4.35,18.02,-6,41.85,19,-6.57,10.07,260,64,0,0,0,0,5,2.5,14.71,3.69,6809,On
-25.25,2.51,65.44,18011.35,688,4558,4.56,8.5,-33.77,17.77,-75,39.09,17,-6.49,10.43,240,65,0,0,0,0,5,2.5,14.71,3.69,6815,On
-25.25,2.5,65.44,18011.59,683,4529,4.53,6.13,2.58,22.79,22,23.74,15,-6.5,10.57,221,70,0,0,0,0,5,2.5,14.71,3.69,6820,On
-25.19,2.49,65.43,18011.81,685,4541,4.54,7.31,-30.31,16.6,-76,35.32,13,-6.46,10.58,200,75,0,0,0,0,5,2.5,14.71,3.69,6826,On
-25.25,2.48,65.43,18012.01,625,4139,4.14,-4.85,-37.13,25.77,-97,45.45,14,-6.47,10.34,156,51,0,0,0,0,5,2.5,14.71,3.69,6832,On
-25.19,2.47,65.43,18012.25,622,4119,4.12,7,-42.64,21.58,-80,48.3,12,-6.37,10.3,105,15,0,0,0,0,5,2.5,14.71,3.69,6837,On
-25.06,2.46,65.42,18012.46,646,4278,4.28,17.27,-29.89,14.92,-59,37.61,11,-6.39,10.33,56,0,0,0,0,0,5,2.5,14.71,3.69,6843,On
-25.12,2.46,65.42,18012.69,635,4207,4.21,40.38,-14.64,17,-19,46.19,12,-6.4,10.28,12,0,0,0,0,0,5,2.5,14.71,3.69,6848,On
-25.19,2.45,65.42,18012.93,638,4231,4.23,34.25,-25.62,14.92,-36,45.3,11,-6.39,10.5,0,0,0,0,0,0,5,2.5,14.71,3.69,6854,On
-25.19,2.44,65.42,18013.15,634,4201,4.2,-6.31,-6.46,25.39,-134,26.95,13,-6.44,9.99,0,0,0,0,0,0,5,2.5,14.71,3.69,6859,On
-25.19,2.43,65.41,18013.38,603,3994,3.99,28.5,-35.06,16.12,-50,47.97,12,-6.33,9.75,0,0,0,0,0,0,5,2.5,14.71,3.69,6865,On
-25.31,2.42,65.41,18013.58,600,3975,3.98,43.38,-29.97,18.6,-34,55.91,13,-6.39,9.38,0,0,0,0,0,0,5,2.5,14.71,3.69,6871,On
-25.06,2.42,65.41,18013.76,594,3935,3.94,26.96,-36.68,16.33,-53,48.37,12,-6.33,9.39,0,0,0,0,0,0,5,2.5,14.71,3.69,6876,On
-25.12,2.41,65.4,18013.99,600,3975,3.98,5.73,-21.67,17.35,-75,28.34,12,-6.3,9.8,0,0,0,0,0,0,5,2.5,14.71,3.69,6882,On
-25.12,2.4,65.4,18014.19,614,4070,4.07,0.89,-33.68,21.54,-88,39.99,14,-6.3,10.26,0,0,0,0,0,0,5,2.5,14.71,3.69,6887,On
-25.06,2.39,65.4,18014.4,637,4218,4.22,25.67,-24,14.56,-43,38.04,14,-6.25,10.64,0,0,0,0,0,0,5,2.5,14.71,3.69,6893,On
