Temperature (*C), Pressure (hPa), Approx. Altitude (meters), Time(s), Motion,Corrected Time (s)
15.24,815.02,1802.37,2575,1,276
15.22,814.44,1808.16,2576,1,277
15.15,813.85,1813.96,2577,1,278
15,813.25,1820.01,2578,1,279
14.95,812.65,1825.62,2579,1,280
14.93,812.11,1831,2580,1,281
14.91,811.58,1836.45,2581,1,282
14.87,811.02,1841.99,2582,1,283
14.84,810.46,1847.75,2583,0,284
14.78,809.87,1853.74,2584,0,285
14.78,809.27,1859.53,2585,1,286
14.76,808.7,1865.15,2586,1,287
14.71,808.15,1870.4,2587,1,288
14.55,807.64,1875.95,2588,1,289
14.44,807.06,1881.72,2589,1,290
14.41,806.48,1888.67,2590,1,291
14.41,805.59,1895.67,2591,1,292
14.42,805.15,1900.32,2592,0,293
14.41,804.66,1905.12,2593,0,294
14.28,804.19,1910.35,2594,0,295
14.18,803.64,1915.89,2595,0,296
14.16,803.08,1921.71,2596,1,297
14.15,802.49,1927.61,2597,1,298
14.12,801.9,1933.61,2598,1,299
14.1,801.29,1939.76,2599,1,300
14,800.69,1945.73,2600,1,301
13.93,800.09,1951.97,2601,1,302
13.75,799.47,1958.24,2602,1,303
13.69,798.85,1964.45,2603,1,304
13.67,798.24,1970.34,2604,1,305
13.55,797.67,1976.07,2605,0,306
13.52,797.11,1981.93,2606,0,307
13.49,796.51,1987.71,2607,1,308
13.43,795.96,1993.73,2608,1,309
13.33,795.33,1999.61,2609,1,310
13.25,794.78,2005.29,2610,1,311
13.21,794.23,2010.76,2611,1,312
13.18,793.69,2016.29,2612,1,313
13.16,793.14,2022.03,2613,0,314
13.13,792.56,2027.75,2614,0,315
13.01,792.03,2033.43,2615,0,316
12.93,791.45,2039.12,2616,1,317
12.91,790.9,2044.63,2617,1,318
12.88,790.36,2050.53,2618,1,319
12.86,789.74,2056.65,2619,1,320
12.83,789.16,2062.22,2620,1,321
12.76,788.63,2067.82,2621,1,322
12.67,788.08,2075.04,2622,1,323
12.65,787.39,2080.08,2623,1,324
12.65,786.91,2085.47,2624,1,325
12.62,786.35,2091.07,2625,1,326
12.59,785.81,2096.38,2626,1,327
12.58,785.3,2101.66,2627,0,328
12.58,784.78,2107.29,2628,0,329
12.58,784.21,2113.07,2629,0,330
12.58,783.63,2120.93,2630,0,331
12.59,782.76,2126.77,2631,1,332
12.47,782.4,2130.95,2632,1,333
12.38,781.95,2136.48,2633,0,334
12.37,781.35,2142.39,2634,0,335
12.37,780.79,2148.24,2635,1,336
12.35,780.22,2154.05,2636,1,337
12.33,779.66,2160.02,2637,0,338
12.18,779.05,2165.97,2638,0,339
12.17,778.51,2171.61,2639,0,340
12.15,777.96,2177.43,2640,1,341
12.13,777.38,2183.53,2641,1,342
12.12,776.79,2189.59,2642,1,343
12.09,776.19,2195.64,2643,1,344
11.97,775.63,2201.45,2644,1,345
11.95,775.07,2207.56,2645,1,346
11.94,774.45,2214.01,2646,1,347
11.98,773.83,2220.07,2647,1,348
11.97,773.26,2226.07,2648,1,349
11.85,772.67,2232.37,2649,1,350
11.81,772.05,2238.94,2650,1,351
11.78,771.41,2245.33,2651,1,352
11.76,770.8,2251.55,2652,1,353
11.69,770.23,2257.2,2653,1,354
11.65,769.71,2262.51,2654,1,355
11.64,769.19,2268.33,2655,1,356
11.58,768.62,2274.46,2656,1,357
11.51,768.01,2280.53,2657,0,358
11.48,767.45,2285.98,2658,0,359
11.31,766.94,2291.79,2659,1,360
11.23,766.34,2299.12,2660,1,361
11.22,765.62,2305.18,2661,1,362
11.11,765.1,2310.93,2662,0,363
10.98,764.53,2316.67,2663,0,364
10.9,764,2322.32,2664,0,365
10.72,763.44,2328.18,2665,0,366
10.67,762.89,2333.99,2666,0,367
10.64,762.34,2339.49,2667,1,368
10.49,761.82,2345.24,2668,1,369
10.44,761.25,2351.31,2669,1,370
10.41,760.68,2357.3,2670,1,371
10.35,760.1,2363.35,2671,1,372
10.29,759.53,2369.05,2672,1,373
10.27,758.99,2374.98,2673,1,374
10.25,758.41,2381.22,2674,1,375
10.22,757.84,2387.27,2675,1,376
10.21,757.25,2393.38,2676,1,377
10.22,756.67,2399.14,2677,1,378
10.22,756.15,2404.66,2678,1,379
10.22,755.63,2410.4,2679,0,380
10.19,755.07,2416.25,2680,0,381
10.19,754.51,2422.21,2681,1,382
10.2,753.95,2428.13,2682,1,383
10.18,753.4,2434.05,2683,1,384
10.16,752.83,2440.17,2684,1,385
10.17,752.24,2446.54,2685,1,386
10.18,751.63,2452.86,2686,1,387
10.18,751.04,2459.01,2687,1,388
10.04,750.47,2465.22,2688,1,389
9.96,749.88,2471.43,2689,1,390
9.95,749.3,2477.65,2690,1,391
9.93,748.71,2483.62,2691,0,392
9.85,748.17,2489.38,2692,0,393
9.73,747.62,2495.26,2693,0,394
9.68,747.07,2501.28,2694,1,395
9.64,746.51,2507.64,2695,1,396
9.62,745.87,2513.57,2696,1,397
9.61,745.39,2518.87,2697,1,398
9.58,744.87,2524.55,2698,1,399
9.56,744.33,2530.78,2699,1,400
9.52,743.73,2537.44,2700,1,401
9.48,743.08,2543.88,2701,0,402
9.43,742.51,2549.77,2702,0,403
9.39,741.97,2555.62,2703,0,404
9.38,741.43,2561.71,2704,1,405
9.33,740.85,2568.16,2705,1,406
9.27,740.22,2574.67,2706,0,407
9.24,739.63,2580.67,2707,0,408
9.18,739.11,2586.13,2708,0,409
9.06,738.59,2591.54,2709,0,410
9.03,738.11,2596.41,2710,1,411
8.98,737.68,2600.88,2711,1,412
8.8,737.28,2605.47,2712,1,413
8.71,736.83,2610.64,2713,1,414
8.69,736.31,2616.82,2714,1,415
8.7,735.72,2623.44,2715,1,416
8.7,735.07,2630.07,2716,1,417
8.66,734.49,2636.51,2717,1,418
8.55,733.89,2642.46,2718,1,419
8.48,733.37,2648.04,2719,1,420
8.45,732.87,2653.61,2720,1,421
8.44,732.33,2659.42,2721,0,422
8.43,731.79,2665.62,2722,0,423
8.43,731.22,2671.92,2723,1,424
8.44,730.61,2678.44,2724,1,425
8.45,730.02,2684.87,2725,1,426
8.41,729.43,2691.38,2726,1,427
8.42,728.83,2697.7,2727,1,428
8.41,728.25,2704.04,2728,1,429
8.32,727.67,2710.3,2729,1,430
8.3,727.08,2716.43,2730,1,431
8.31,726.55,2722.46,2731,1,432
8.29,725.98,2729.02,2732,1,433
8.28,725.36,2735.24,2733,1,434
8.24,724.83,2741.5,2734,1,435
8.12,724.22,2748.09,2735,1,436
8.13,723.61,2754.82,2736,1,437
8.06,723.01,2760.82,2737,1,438
8.05,722.49,2766.47,2738,1,439
8.04,721.97,2772.08,2739,1,440
8,721.47,2777.91,2740,1,441
7.97,720.91,2783.97,2741,1,442
7.97,720.37,2789.83,2742,1,443
7.96,719.84,2795.72,2743,1,444
7.96,719.31,2801.95,2744,1,445
7.94,718.72,2808.37,2745,1,446
7.92,718.13,2814.71,2746,1,447
7.91,717.56,2820.81,2747,1,448
7.83,717.02,2827.09,2748,1,449
7.82,716.42,2833.66,2749,1,450
7.87,715.83,2840.09,2750,1,451
7.88,715.26,2845.95,2751,1,452
7.83,714.75,2851.58,2752,1,453
7.81,714.24,2857.62,2753,1,454
7.83,713.68,2864.11,2754,1,455
7.84,713.06,2870.85,2755,1,456
7.84,712.46,2877.44,2756,1,457
7.84,711.87,2883.77,2757,1,458
7.84,711.3,2889.89,2758,0,459
7.83,710.77,2895.87,2759,0,460
7.8,710.22,2902.25,2760,0,461
7.76,709.63,2908.88,2761,0,462
7.76,709.03,2915.51,2762,0,463
7.76,708.44,2922.03,2763,1,464
7.73,707.85,2928.33,2764,1,465
7.76,707.3,2934.47,2765,1,466
7.78,706.76,2940.44,2766,1,467
7.78,706.21,2947.08,2767,0,468
7.77,705.6,2953.89,2768,0,469
7.78,704.99,2960.5,2769,0,470
7.76,704.4,2967.38,2770,1,471
7.73,703.77,2974.38,2771,1,472
7.74,703.14,2981.02,2772,1,473
7.78,702.59,2987.27,2773,1,474
7.69,702.02,2993.71,2774,1,475
7.67,701.44,3000.11,2775,1,476
7.64,700.87,3006.96,2776,1,477
7.6,700.24,3013.87,2777,1,478
7.59,699.64,3020.27,2778,1,479
7.57,699.09,3026.97,2779,1,480
7.5,698.47,3033.68,2780,1,481
7.5,697.87,3040.59,2781,1,482
7.49,697.26,3047.14,2782,1,483
7.46,696.69,3053.32,2783,1,484
7.4,696.16,3059.36,2784,1,485
7.38,695.63,3065.39,2785,1,486
7.39,695.08,3071.51,2786,1,487
7.4,694.55,3077.87,2787,1,488
7.41,693.95,3084.59,2788,1,489
7.41,693.37,3091.28,2789,1,490
7.41,692.79,3097.89,2790,0,491
7.4,692.19,3104.62,2791,0,492
7.42,691.59,3111.58,2792,0,493
7.43,690.98,3118.5,2793,1,494
7.51,690.38,3124.96,2794,1,495
7.47,689.81,3131.4,2795,1,496
7.4,689.26,3137.8,2796,1,497
7.37,688.69,3144.36,2797,1,498
7.37,688.11,3151.04,2798,1,499
7.38,687.52,3157.71,2799,1,500
7.38,686.93,3164.65,2800,1,501
7.44,686.31,3171.54,2801,1,502
7.42,685.71,3178.3,2802,1,503
7.36,685.13,3185.04,2803,1,504
7.3,684.53,3191.84,2804,1,505
7.29,683.94,3198.47,2805,1,506
7.29,683.38,3205.2,2806,1,507
7.35,682.77,3212.13,2807,1,508
7.4,682.16,3218.97,2808,1,509
7.39,681.57,3225.53,2809,1,510
7.33,681.01,3232,2810,1,511
7.25,680.45,3238.55,2811,1,512
7.2,679.87,3245.54,2812,1,513
7.19,679.25,3252.45,2813,1,514
7.21,678.67,3259.28,2814,1,515
7.22,678.07,3266.1,2815,1,516
7.2,677.48,3272.78,2816,1,517
7.19,676.9,3279.01,2817,0,518
7.16,676.4,3285.27,2818,0,519
7.09,675.83,3292.23,2819,1,520
7.12,675.2,3299.08,2820,1,521
7.16,674.62,3305.87,2821,1,522
7.16,674.04,3312.55,2822,1,523
7.16,673.47,3319.19,2823,0,524
7.14,672.89,3325.91,2824,0,525
7.12,672.31,3332.81,2825,0,526
7.12,671.7,3339.88,2826,0,527
7.11,671.09,3346.7,2827,0,528
7.09,670.53,3353.29,2828,1,529
7.09,669.96,3359.76,2829,1,530
7.1,669.41,3366.11,2830,1,531
7.1,668.87,3372.45,2831,1,532
7.09,668.31,3379.26,2832,0,533
7.02,667.72,3386.18,2833,0,534
7.01,667.12,3392.77,2834,0,535
7,666.59,3398.99,2835,1,536
6.92,666.04,3405.39,2836,1,537
6.91,665.5,3411.86,2837,1,538
6.92,664.94,3418.45,2838,0,539
6.92,664.37,3425.28,2839,0,540
6.89,663.78,3432.26,2840,0,541
6.84,663.19,3439.25,2841,0,542
6.84,662.58,3446.28,2842,1,543
6.82,662,3452.69,2843,1,544
6.82,661.48,3458.79,2844,1,545
6.81,660.95,3465.41,2845,1,546
6.8,660.37,3472.34,2846,1,547
6.79,659.78,3479.43,2847,1,548
6.78,659.16,3486.53,2848,0,549
6.77,658.59,3493.15,2849,0,550
6.75,658.03,3499.88,2850,1,551
6.73,657.45,3507,2851,1,552
6.72,656.84,3514.27,2852,1,553
6.71,656.22,3521.25,2853,0,554
6.64,655.64,3528.05,2854,0,555
6.6,655.07,3534.77,2855,1,556
6.58,654.51,3541.53,2856,1,557
6.57,653.94,3548.05,2857,0,558
6.55,653.4,3554.49,2858,0,559
6.57,652.85,3561.12,2859,0,560
6.49,652.29,3567.83,2860,1,561
6.46,651.73,3574.71,2861,1,562
6.45,651.14,3581.66,2862,1,563
6.39,650.55,3588.62,2863,1,564
